"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Africa +","11","Stocks","2007","1000 Head","16316.00000","A "
"Africa +","11","Stocks","2006","1000 Head","13840.00000","A "
"Africa +","11","Stocks","2005","1000 Head","12469.00000","A "
"Africa +","11","Stocks","2004","1000 Head","12418.00000","A "
"Africa +","11","Stocks","2003","1000 Head","12328.00000","A "
"Africa +","11","Stocks","2002","1000 Head","12206.00000","A "
"Africa +","11","Stocks","2001","1000 Head","12423.00000","A "
"Africa +","11","Stocks","2000","1000 Head","11989.00000","A "
"Africa +","11","Stocks","1999","1000 Head","11057.00000","A "
"Africa +","11","Stocks","1998","1000 Head","10242.00000","A "
"Africa +","11","Stocks","1997","1000 Head","10306.00000","A "
"Africa +","11","Stocks","1996","1000 Head","9593.00000","A "
"Africa +","11","Stocks","1995","1000 Head","9365.00000","A "
"Africa +","11","Stocks","1994","1000 Head","9378.00000","A "
"Africa +","11","Stocks","1993","1000 Head","8919.00000","A "
"Africa +","11","Stocks","1992","1000 Head","8053.00000","A "
"Africa +","11","Stocks","1991","1000 Head","7476.00000","A "
"Africa +","11","Stocks","1990","1000 Head","7293.00000","A "
"Africa +","11","Stocks","1989","1000 Head","3699.00000","A "
"Africa +","11","Stocks","1988","1000 Head","3526.00000","A "
"Africa +","11","Stocks","1987","1000 Head","3180.00000","A "
"Africa +","11","Stocks","1986","1000 Head","3326.00000","A "
"Africa +","11","Stocks","1985","1000 Head","3094.00000","A "
"Africa +","11","Stocks","1984","1000 Head","2669.00000","A "
"Africa +","11","Stocks","1983","1000 Head","2471.00000","A "
"Africa +","11","Stocks","1982","1000 Head","2180.00000","A "
"Africa +","11","Stocks","1981","1000 Head","2265.00000","A "
"Africa +","11","Stocks","1980","1000 Head","2150.00000","A "
"Africa +","11","Stocks","1979","1000 Head","2438.00000","A "
"Africa +","11","Stocks","1978","1000 Head","2376.00000","A "
"Africa +","11","Stocks","1977","1000 Head","2115.00000","A "
"Africa +","11","Stocks","1976","1000 Head","2109.00000","A "
"Africa +","11","Stocks","1975","1000 Head","2207.00000","A "
"Africa +","11","Stocks","1974","1000 Head","2093.00000","A "
"Africa +","11","Stocks","1973","1000 Head","2283.00000","A "
"Africa +","11","Stocks","1972","1000 Head","2170.00000","A "
